날짜,종가,시가,고가,저가,거래량,수정종가
2023-01-03,125.06999969482422,130.27999877929688,130.89999389648438,124.16999816894531,112117500,124.70683288574219
2023-01-04,126.36000061035156,126.88999938964844,128.66000366210938,125.08000183105469,89113600,125.99309539794922
2023-01-05,125.0199966430664,127.12999725341797,127.7699966430664,124.76000213623047,80962700,124.656982421875
2023-01-06,129.6199951171875,126.01000213623047,130.2899932861328,124.88999938964844,87754700,129.24362182617188
2023-01-09,130.14999389648438,130.47000122070312,133.41000366210938,129.88999938964844,70790800,129.77207946777344
2023-01-10,130.72999572753906,130.25999450683594,131.25999450683594,128.1199951171875,63896200,130.35040283203125
2023-01-11,133.49000549316406,131.25,133.50999450683594,130.4600067138672,69458900,133.10238647460938
2023-01-12,133.41000366210938,133.8800048828125,134.25999450683594,131.44000244140625,71379600,133.02261352539062
2023-01-13,134.75999450683594,132.02999877929688,134.9199981689453,131.66000366210938,57809700,134.3686981201172
2023-01-17,135.94000244140625,134.8300018310547,137.2899932861328,134.1300048828125,63646600,135.54527282714844
2023-01-18,135.2100067138672,136.82000732421875,138.61000061035156,135.02999877929688,69672800,134.81739807128906
2023-01-19,135.27000427246094,134.0800018310547,136.25,133.77000427246094,58280400,134.87722778320312
2023-01-20,137.8699951171875,135.27999877929688,138.02000427246094,134.22000122070312,80223600,137.46966552734375
2023-01-23,141.11000061035156,138.1199951171875,143.32000732421875,137.89999389648438,81760300,140.70025634765625
2023-01-24,142.52999877929688,140.30999755859375,143.16000366210938,140.3000030517578,66435100,142.1161346435547
2023-01-25,141.86000061035156,140.88999938964844,142.42999267578125,138.80999755859375,65799300,141.4480743408203
2023-01-26,143.9600067138672,143.1699981689453,144.25,141.89999389648438,54105100,143.5419921875
2023-01-27,145.92999267578125,143.16000366210938,147.22999572753906,143.0800018310547,70555800,145.50625610351562
2023-01-30,143.0,144.9600067138672,145.5500030517578,142.85000610351562,64015300,142.58477783203125
2023-01-31,144.2899932861328,142.6999969482422,144.33999633789062,142.27999877929688,65874500,143.8710174560547
2023-02-01,145.42999267578125,143.97000122070312,146.61000061035156,141.32000732421875,77663600,145.00770568847656
2023-02-02,150.82000732421875,148.89999389648438,151.17999267578125,148.1699981689453,118339000,150.38206481933594
2023-02-03,154.5,148.02999877929688,157.3800048828125,147.8300018310547,154357300,154.05137634277344
2023-02-06,151.72999572753906,152.57000732421875,153.10000610351562,150.77999877929688,69858300,151.2894287109375
2023-02-07,154.64999389648438,150.63999938964844,155.22999572753906,150.63999938964844,83322600,154.20094299316406
2023-02-08,151.9199981689453,153.8800048828125,154.5800018310547,151.1699981689453,64120100,151.4788818359375
2023-02-09,150.8699951171875,153.77999877929688,154.3300018310547,150.4199981689453,56007100,150.43191528320312
2023-02-10,151.00999450683594,149.4600067138672,151.33999633789062,149.22000122070312,57450700,150.80140686035156
2023-02-13,153.85000610351562,150.9499969482422,154.25999450683594,150.9199981689453,62199000,153.6374969482422
2023-02-14,153.1999969482422,152.1199951171875,153.77000427246094,150.86000061035156,61707600,152.98838806152344
2023-02-15,155.3300018310547,153.11000061035156,155.5,152.8800048828125,65573800,155.11544799804688
2023-02-16,153.7100067138672,153.50999450683594,156.3300018310547,153.35000610351562,68167900,153.49769592285156
2023-02-17,152.5500030517578,152.35000610351562,153.0,150.85000610351562,59144100,152.33929443359375
2023-02-21,148.47999572753906,150.1999969482422,151.3000030517578,148.41000366210938,58867200,148.27490234375
